Superfamily,Family,Genus,species,Code name3
Eriocranioidea,Eriocraniidae,Eriocraniidae gen.,sp.,Pacer
Gelechioidea,Cosmopterigidae,Pancalia,schwartzella,Panla
Tortricoidea,Tortricidae,Cryptaspasma,sp.,Pasma
Tortricoidea,Tortricidae,Phricanthes,asperana,Pasp
Cossoidea,Castniidae,Paysandisia,archon,Pays
Bombycoidea,Phiditiidae,Phiditia,sp.,PBO
Cossoidea,Brachodidae,Pseudocossus,boisduvalii,Pbod
Adeloidea,Incurvariidae,Perthida,"sp. ""Canberra""",Pcan
Micropterigoidea,Micropterigidae,Palaeomicra,chalcophanes,Pccc
Tineoidea,Tineidae,Paraptica,concinerata,Pcoci
Pyraloidea,Crambidae,Petrophila,confusalis,Pcon
Tineoidea,Psychidae,Psyche,crassiorella,Pcra
Hydropsychoidea,Polycentropodidae,Plectrocnemia,conspersa,Pctb
Drepanoidea,Drepanidae,Pseudothyatira,cymatophoroides,Pcym
Tineoidea,Psychidae,Pseudarbela,sp. nov.,Pdba
Zygaenoidea,Limacodidae,Prolimacodes,badia,Pdbi
Nepticuloidea,Nepticulidae,Pectinivalva,"sp. ""B""",Pect
Papilionoidea,Lycaenidae,Poritia,erycinoides,Pedy
Tineoidea,Tineidae,Perissomastix,"sp. ""1""",Peri
Bombycoidea,Endromidae,Prismosticta,fenestrata,Pfene
Thyridoidea,Thyrididae,Pentina,flammans,Pfla
Cossoidea,Cossidae,Philiodoron,frater,Pfoc
Yponomeutoidea,Glyphipterigidae,Proditrix,gahniae,Pgah
Gelechioidea,Gelechiidae,Pectinophora,gossypiella,Pgos
Zygaenoidea,Zygaenidae,Phauda,mimica,Phau
Gracillarioidea,Gracillariidae,Phyllocnistis,citrella,Phcn
Noctuoidea,Erebidae,Phobolosia,anfracta,Phfr
Zygaenoidea,Limacodidae,Phobetron,hipparchia,Phih
Cossoidea,Sesiidae,Pennisetia,hylaeiformis,Phms
Gracillarioidea,Gracillariidae,Phyllonorycter,pomonella,Phyl
Tortricoidea,Tortricidae,Platynota,ideausalis,Pida2
Pyraloidea,Pyralidae,Plodia,interpunctella,Pin
Papilionoidea,Papilionidae,Parides,iphidamas,Piph3
Gelechioidea,Oecophoridae,Promalactis,jezonica,Pjez
Noctuoidea,Noctuidae,Caradrina,meralis,Platc
Pterophoroidea,Pterophoridae,Platyptilia,ignifera,Plty
Geometroidea,Epicopeiidae,Psychostrophia,melangaria,Pmel
Gracillarioidea,Gracillariidae,Phyllocnistis,longipalpus,Pmgl
Bombycoidea,Sphingidae,Paonias,myops,Pmyo
Bombycoidea,Eupterotidae,Panacela,sp.,Pncla
Pyraloidea,Crambidae,Pyrausta,zonalis,Pnex
Zygaenoidea,Limacodidae,Pantoctenia,prasina,Pntp
Choreutoidea,Choreutidae,Prochoreutis,sp.,Poeu
Hepialoidea,Hepialidae,Phymatopus,hectoides,Pohd
Zygaenoidea,Zygaenidae,Pollanisus,apicalis,Posp
Cossoidea,Cossidae,Psychogena,personalis,Ppls
Lasiocampoidea,Lasiocampidae,Poecilocampa,populi,Ppop
Carposinoidea,Copromorphidae,Phycomorpha,prasinochroa,Ppra
Pyraloidea,Crambidae,Phaeodropsis,alitemeralis,Ppy122
Adeloidea,Prodoxidae,Prodoxus,decipiens,Pqu
Nepticuloidea,Opostegidae,Opostega,quadristrigella,Pquadr2
Papilionoidea,Pieridae,Pieris,rapae,Prap
Gracillarioidea,Gracillariidae,Parectopa,robiniella,Prbn
Gelechioidea,Elachistidae,Psilocorsis,reflexella,Prfx
Cossoidea,Cossidae,Prionoxystus,robiniae,Prob2
Hepialoidea,Prototheoridae,Prototheora,sp.,Proto
Yponomeutoidea,Praydidae,Prays,fraxinella,Pryo
Tineoidea,Tineidae,Psecadiodes,aspersus,Psasp
Noctuoidea,Erebidae,Hypena,scabra,Psc2
Noctuoidea,Noctuidae,Mythimna,unipuncta,Psdl
Pyraloidea,Crambidae,Rupela,albina,Psh29
Zygaenoidea,Zygaenidae,Pryeria,sinica,Psin
Cossoidea,Sesiidae,Podosesia,syringae,Psy2
Papilionoidea,Pieridae,Pseudopontia,paradoxa,Ptdx
Calliduloidea,Callidulidae,Pterothysana,laticilia,Pter
Calliduloidea,Callidulidae,Pterodecta,felderi,Ptfe
Papilionoidea,Nymphalidae,Phyciodes,phaon,Ptha
Palaephatoidea,Palaephatidae,Palaephatus,luteolus,Ptus
Palaephatoidea,Palaephatidae,Ptyssoptera,sp.,Ptys
incertae sedis,,Pseudurgis,sp.,Purg
Tineoidea,Tineidae,Phereoeca,uterella,Putr
Tortricoidea,Tortricidae,Pseudatteria,volcanica,Pvol
Yponomeutoidea,Plutellidae,Plutella,xylostella,Pxy
Tineoidea,Tineidae,Pyloetis,mimosae,Pymi
Bombycoidea,Bombycidae,Quentalia,chromana,Quid
Gelechioidea,Lecithoceridae,Rhyzosthene,falciformis,Rfal
Gelechioidea,Scythrididae,Rhamphura,sp.,Rham
Rhyacophiloidea,Rhyacophilidae,Rhyacophila,dorsalis,Rhmd
Noctuoidea,Erebidae,Rivula,propinqualis,Rpro3
Gracillarioidea,Roeslerstammiidae,Roeslerstammia,pronubella,Rstm
Tineoidea,Tineidae,Scardiella,approximatella,Sapp
Tineoidea,Psychidae,Scoriodyta,suttonensis,Scdy
Schreckensteinioidea,Schreckensteiniidae,Schreckensteinia,"sp. ""2""",Schrk
Geometroidea,Geometridae,Scopula,limboundata,Scli
Pyraloidea,Crambidae,Eudonia,spenceri,Scsp
Gelechioidea,Stathmopodidae,Stathmopodidae gen.,sp.,ScspSC
Noctuoidea,Notodontidae,Spatalia,doerriesi,Sdoe
Geometroidea,Uraniidae,Syngria,druidaria,Sdru
Sericostomatoidea,Sericostomatidae,Sericostoma,sp.,Seic
Gelechioidea,Gelechiidae,Friseria,cockerelli,Seto
Papilionoidea,Lycaenidae,Strymon,eurytulus,Seur2
Noctuoidea,Noctuidae,Spodoptera,frugiperda,Sfr
Gelechioidea,Scythrididae,Scythris,immaculatella,Simm
Pyraloidea,Crambidae,Scirpophaga,incertulas,Sin
Schreckensteinioidea,Schreckensteiniidae,Schreckensteinia,sp.,Sktn
Carposinoidea,Carposinidae,Sosineura,mimica,Smim2
Bombycoidea,Saturniidae,Saturnia,naessigi,Snaes
Cossoidea,Castniidae,Synemon,plana,Spla
Gracillarioidea,Gracillariidae,Spulerina,dissotoma,Sput
Tortricoidea,Tortricidae,Sparganothis,reticulatana,Srtc
Thyridoidea,Thyrididae,Striglina,suzukii,Sski
Nepticuloidea,Nepticulidae,Stigmella,anomalella,Stan
Gelechioidea,Stathmopodidae,Stathmopoda,melanochra,Stmp
